ID;X_COORD;Y_COORD;P9303;Q9303;P93;G0;CT9303;CI9303;CC9303;WP9303;WQ9303;WP93;WG0;WCT9303;WCI9303;WCC9303
230028;-38,896030;-6,747090;0,752720;1,885040;0,626100;0,924550;-0,178590;-0,793550;0,131710;0,486890;1,559682;1,848560;0,848262;-0,307840;-1,632010;0,462166
230029;-40,052810;-7,066080;0,138630;0,498040;1,869200;0,774740;0,612860;-0,667730;2,652380;0,400406;0,903324;1,176620;0,877847;-0,147841;-0,274236;1,526054
230030;-39,447420;-6,974530;0,512850;1,233880;0,793400;0,904390;0,616730;0,100180;1,204700;0,440694;1,024128;1,674060;0,798264;0,122796;0,052198;1,680786
230031;-38,848750;-7,237270;0,225530;0,715080;1,127100;0,864180;0,229570;-0,109890;0,643130;0,348622;1,490812;2,115220;0,771650;-0,038020;-0,787722;0,887777
230032;-39,467420;-7,364280;0,370970;0,491500;4,300800;0,481730;-0,255460;1,977380;2,830450;0,312763;0,754468;1,056660;0,857178;0,277413;0,097740;0,785932
230033;-38,934940;-7,469820;0,376840;0,549750;0,919000;0,889250;0,676530;0,872590;2,063810;0,282190;0,704013;1,987400;0,701763;-0,173773;1,034673;0,589090
240001;-37,333820;-5,162600;1,462050;3,706670;0,653300;0,921270;0,063230;-0,605710;-1,083290;0,677622;2,421410;2,129320;0,704490;0,443086;0,465976;-1,931528
240002;-37,691320;-5,601330;0,472630;2,298330;0,668800;0,919410;0,851260;2,719930;-2,485870;0,685352;2,643102;0,868620;0,894322;-0,202312;-1,586093;-1,266805
240003;-37,293070;-5,815360;0,722370;4,457220;0,894200;0,892240;0,588510;0,812530;-1,196940;0,710372;2,991660;2,787500;0,726558;0,620524;-0,948908;-1,767322
240004;-36,846530;-5,599840;1,117230;3,095180;7,565200;0,088350;0,794980;-1,201360;-2,551660;0,475884;2,470671;0,902300;0,836493;0,419596;0,141304;-1,617136
240005;-38,413790;-6,255930;-0,114030;1,993860;3,394100;0,590990;1,935330;0,882660;1,343330;0,445208;2,006098;1,088000;0,851815;-1,129588;-3,513488;-0,841592
240006;-38,097400;-6,124550;0,429270;2,466740;0,574000;0,930840;0,445860;-1,913780;-1,451030;0,247166;2,372007;3,562660;0,629990;0,010834;-1,993969;-0,654846
240007;-37,805970;-6,117670;0,315020;1,965950;0,717100;0,913580;1,738770;-2,618220;-1,484170;0,452300;3,278615;3,084500;0,883167;0,385002;-0,355125;-1,591365
240008;-36,326400;-5,220430;0,464070;1,473470;0,391900;0,952780;1,356220;2,853420;-3,240270;0,457580;1,611718;2,616640;0,515460;0,922680;2,011710;-1,122893
